group_name,state,valid_district_id,valid_nces_id,valid_opp_count,valid_opp_revenue,valid_school_count,valid_session_count,valid_session_revenue,valid_course_count,orphaned_district_id,orphaned_opp_count,orphaned_opp_revenue,orphaned_school_count,orphaned_session_count,orphaned_course_count,combined_revenue,action
CLYDE-GREEN SPRINGS EXEMPTED VILLAGE SCHOOL DISTRICT,OH,17592296946813,3910020,0,0,4,0,0,0,17592284319369,1,50000,1,0,0,50000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
EMPIRE UNION SCHOOL DISTRICT,CA,17592295306242,612690,0,0,6,0,0,0,17592188152835,3,47937,1,0,0,47937,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ROYAL INDEPENDENT SCHOOL DISTRICT,TX,17592296969394,4838190,0,0,5,0,0,0,17592284311274,2,47000,1,0,0,47000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LEVITTOWN SCHOOL DISTRICT,NY,17592295268367,3617160,0,0,9,0,0,0,17592188519013,8,42710,1,0,0,42710,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ACCELERATED INTERDISCIPLINARY INTERMEDIATE ACADEMY,TX,17592295269733,4800192,0,0,2,0,0,0,17592284314931,1,41000,1,0,0,41000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LAURENS COUNTY SCHOOL DISTRICT 56,SC,17592296950445,4502640,0,0,5,0,0,0,17592284311282,3,40500,1,0,0,40500,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
TEXARKANA INDEPENDENT SCHOOL DISTRICT,TX,17592295195057,4842480,0,0,12,0,0,0,17592284311636,1,40000,1,0,0,40000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SAN BRUNO PARK SCHOOL DISTRICT,CA,17592295278877,634230,0,0,5,0,0,1,17592284312115,1,36000,1,0,0,36000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
REDBANK VALLEY SCHOOL DISTRICT,PA,17592296978195,4220130,0,0,3,0,0,0,17592284315643,1,35750,1,0,0,35750,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GOOCHLAND COUNTY PUBLIC SCHOOLS,VA,17592296981070,5101650,0,0,6,0,0,0,17592284313514,1,35000,1,0,0,35000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PLEASANTON INDEPENDENT SCHOOL DISTRICT,TX,17592295294183,4835190,0,0,5,0,0,0,17592284315337,1,35000,1,0,0,35000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NEW YORK INSTITUTE OF TECHNOLOGY,NY,17592295201812,194091,0,0,2,0,0,0,17592188087578,4,33072,1,0,0,33072,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NORTHPORT - EAST NORTHPORT SCHOOL DISTRICT,NY,17592295338101,3621270,0,0,9,0,0,0,17592188084838,4,31074.55,1,0,0,31074.55,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT,NY,17592297007426,3608010,0,0,3,0,0,0,17592188843453,7,30675.55,1,0,0,30675.55,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BEEVILLE INDEPENDENT SCHOOL DISTRICT,TX,17592295199703,4809720,0,0,7,0,0,0,17592284312521,2,30000,1,0,0,30000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
UPPER MORELAND TOWNSHIP SCHOOL DISTRICT,PA,17592296975838,4224510,0,0,3,0,0,0,17592284312177,1,30000,1,0,0,30000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ELIZABETH CITY-PASQUOTANK COUNTY SCHOOLS,NC,17592296951308,3703540,0,0,13,0,0,0,17592284312392,1,30000,1,0,0,30000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
TAYLOR INDEPENDENT SCHOOL DISTRICT,TX,17592295308516,4842280,0,0,8,0,0,0,17592284319154,1,30000,1,0,0,30000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GATEWAY COMMUNITY COLLEGE,AZ,17592295271368,105145,0,0,1,0,0,0,17592188843439,2,27781.2,1,0,0,27781.2,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SAYVILLE SCHOOL DISTRICT,NY,17592297007440,3625920,0,0,5,0,0,0,17592188522266,7,26715,1,0,0,26715,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
COALINGA-HURON UNIFIED SCHOOL DISTRICT,CA,17592296969013,609120,0,0,5,0,0,0,17592190777604,1,26000,1,0,0,26000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
JAMESTOWN ELEMENTARY SCHOOL DISTRICT,CA,17592296943391,618690,0,0,2,0,0,0,17592284313753,1,26000,1,0,0,26000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PLANO INDEPENDENT SCHOOL DISTRICT,TX,17592295306505,4835100,0,0,83,0,0,0,17592284310344,1,25000,1,0,0,25000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CANUTILLO INDEPENDENT SCHOOL DISTRICT,TX,17592296964076,4812780,0,0,11,0,0,0,17592284310942,1,25000,1,0,0,25000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BEACHWOOD CITY SCHOOL DISTRICT,OH,17592295253714,3904355,0,0,5,0,0,0,17592284313117,1,25000,1,0,0,25000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PIQUA CITY SCHOOL DISTRICT,OH,17592295348819,3904464,0,0,5,0,0,0,17592284314570,1,25000,1,0,0,25000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
DEER PARK UNION FREE SCHOOL DISTRICT,NY,17592297007414,3608880,0,0,5,0,0,0,17592284316223,1,25000,1,0,0,25000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LANCASTER INDEPENDENT SCHOOL DISTRICT,TX,17592296967158,4826670,0,0,11,0,0,0,17592284316898,1,25000,1,0,0,25000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
KENNARD INDEPENDENT SCHOOL DISTRICT,TX,17592296966861,4825470,0,0,2,0,0,0,17592284317972,1,25000,1,0,0,25000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
OCEAN BEACH SCHOOL DISTRICT,WA,17592296981118,5306060,0,0,6,0,0,0,17592284318247,1,25000,1,0,0,25000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LAREDO INDEPENDENT SCHOOL DISTRICT,TX,17592296967180,4826790,0,0,34,0,0,0,17592284318249,1,25000,1,0,0,25000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SIDNEY CITY SCHOOL DISTRICT,OH,17592296951316,3910003,0,0,7,0,0,0,17592284318504,1,25000,1,0,0,25000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
