,,,,,,"$67,677,942.08","$27,680,666.65","$1,716,620.53","$7,041,752.33","$31,238,902.57","$38,099,573.99",,,
Account,LEA ID,State,Territory Plan Name,Territory Plan Fiscal Year,Distroct Owner,Company,Renewal Target,Expansion Target,Win Back Target,New Business Target,FY27 Open Pipeline,,,
Coatesville Area School District,4206240,PA,Pennsylvania 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Colby School District,5502730,WI,Wisconsin 2027,2027,Michele Charles,EK12,$0.00,$0.00,$0.00,"$12,800.00",$0.00,,,
Colby USD 315,2005010,KS,Kansas 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$18,600.00",$0.00,,,
Colleton County School District,4501830,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,"$225,261.74","$10,000.00",$0.00,$0.00,"$1,480,000.00",,,
Colquitt County School District,1301380,GA,Georgia 2027,2027,Nora Navarro,EK12,$0.00,$0.00,$0.00,"$40,225.61","$40,225.61",,,
Columbia County Schools,1301410,GA,Georgia 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Columbia Falls Elementary Schools,3007110,MT,Montana 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Columbia Union School District,0609480,CA,California 2027,2027,Lauren Kleist,EK12,"$52,823.30",$0.00,$0.00,$0.00,"$46,900.00",,,
Columbus City School District,3904380,OH,Ohio 2027,2027,Jenn Russart,EK12,$0.00,$0.00,$0.00,"$310,000.00",$0.00,,,
Columbus Community School District,1907980,IA,Iowa 2027,2027,Rachel Reynoso,Fullmind,"$8,942.92",$0.00,$0.00,$0.00,$0.00,,,
Columbus County Schools,3700960,NC,North Carolina 2027,2027,Nakeia Jones,EK12,$0.00,$0.00,$0.00,"$16,430.40",$0.00,,,
Columbus Independent School District,4814700,TX,Texas 2027,2027,Lauren Kleist,EK12,"$10,080.00",$0.00,$0.00,$0.00,"$10,080.00",,,
Community Consolidated School District 168,1735460,IL,Illinois 2027,2027,Phil Dugliss,EK12,"$55,650.00",$0.00,$0.00,$0.00,"$40,800.00",,,
Community Independent School District,4814850,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Compass Academy Charter School,3400766,NJ,New Jersey 2027,2027,Lauren Kleist,EK12,$0.00,$0.00,$0.00,"$20,000.00","$20,000.00",,,
Comsewogue School District,3615780,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Concord School District,3302460,NH,New Hampshire 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
